timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1679572800000,0.5,1.6,0.5,1.325,155411537.5,1679587199999,209300218.44078,474837,74782629.1,100900443.84462,2023-03-23 12:00:00
1679587200000,1.3251,1.43,1.2133,1.43,211450022.8,1679601599999,277711644.77586,672307,103734855.1,136544585.33226,2023-03-23 16:00:00
1679601600000,1.43,1.4918,1.3123,1.3217,128852698.9,1679615999999,182920219.99713,407463,61064741.1,86787678.61565,2023-03-23 20:00:00
1679616000000,1.3218,1.433,1.3215,1.3997,79873782.6,1679630399999,111263818.76468,211099,37426393.8,52138472.34029,2023-03-24 00:00:00
1679630400000,1.4,1.4937,1.33,1.4837,84583983.2,1679644799999,120331223.99628,229417,42454489.6,60454565.277,2023-03-24 04:00:00
1679644800000,1.4839,1.5675,1.455,1.4906,125563832.9,1679659199999,189415958.28689,388432,62035573.7,93647284.09345,2023-03-24 08:00:00
1679659200000,1.4906,1.4906,1.3358,1.3779,74314097.2,1679673599999,103599310.78662,203540,33504985.7,46651451.30194,2023-03-24 12:00:00
1679673600000,1.3778,1.3782,1.2425,1.3048,94152468.9,1679687999999,122619102.18747,244738,43159392.2,56183753.54063,2023-03-24 16:00:00
1679688000000,1.3047,1.3047,1.1717,1.2727,85021523.3,1679702399999,105294358.89628,176986,37956929.5,47046955.44798,2023-03-24 20:00:00
1679702400000,1.2726,1.315,1.2308,1.2592,50782618.6,1679716799999,64854139.85836,114890,23850416.3,30484176.76292,2023-03-25 00:00:00
1679716800000,1.2596,1.2689,1.1829,1.234,52157784.5,1679731199999,64195844.22852,110224,22624290.1,27864852.03625,2023-03-25 04:00:00
1679731200000,1.234,1.2679,1.1837,1.2403,59778411.8,1679745599999,73225073.54241,123076,28942315.3,35471335.06959,2023-03-25 08:00:00
1679745600000,1.2409,1.2763,1.2246,1.2544,43891244.6,1679759999999,54895705.55476,93985,21822267.3,27306708.75426,2023-03-25 12:00:00
1679760000000,1.2544,1.2834,1.185,1.1891,52839115.4,1679774399999,65252275.28542,100391,24599288.7,30434307.81033,2023-03-25 16:00:00
1679774400000,1.1891,1.2312,1.18,1.2178,22469934.6,1679788799999,27097104.14231,52185,11015344.1,13291314.99595,2023-03-25 20:00:00
1679788800000,1.2179,1.2369,1.2021,1.2223,18838438.7,1679803199999,23042586.46553,40980,9008302.4,11026436.44059,2023-03-26 00:00:00
1679803200000,1.2223,1.2734,1.2034,1.2631,37300943.8,1679817599999,46395080.38831,69304,19998443.8,24882290.58704,2023-03-26 04:00:00
1679817600000,1.2631,1.316,1.2622,1.293,58602181.9,1679831999999,75658906.17385,110532,30433827.1,39295511.5189,2023-03-26 08:00:00
1679832000000,1.293,1.3499,1.279,1.3028,67737848.2,1679846399999,88913627.41273,119290,33923524.6,44526450.97574,2023-03-26 12:00:00
1679846400000,1.3028,1.309,1.2728,1.2851,28072660.2,1679860799999,36157739.55667,52525,13041473.3,16798056.67414,2023-03-26 16:00:00
1679860800000,1.285,1.2938,1.23,1.2818,31569957.5,1679875199999,40017722.02531,57613,14696203.4,18655814.05001,2023-03-26 20:00:00
1679875200000,1.2818,1.3259,1.2658,1.288,34590432.7,1679889599999,44828872.70178,66403,18062521.1,23417332.04061,2023-03-27 00:00:00
1679889600000,1.2878,1.295,1.2468,1.2579,26390400.8,1679903999999,33386536.23073,51741,12000730.7,15179033.71374,2023-03-27 04:00:00
1679904000000,1.2579,1.2772,1.2481,1.2606,22459910.2,1679918399999,28420450.891,50880,11270149.6,14264930.82613,2023-03-27 08:00:00
1679918400000,1.2605,1.2654,1.167,1.2054,78532709.2,1679932799999,95720339.53486,131787,33292951.5,40624820.89785,2023-03-27 12:00:00
1679932800000,1.2054,1.2279,1.13,1.1522,50648301.3,1679947199999,60202723.25831,87423,22280314.1,26542403.85706,2023-03-27 16:00:00
1679947200000,1.1521,1.1678,1.116,1.1657,42929745.1,1679961599999,49045857.92927,90627,19503683.0,22300271.82979,2023-03-27 20:00:00
1679961600000,1.1658,1.1658,1.11,1.1284,31650882.9,1679975999999,35934575.35017,60652,13019698.9,14787254.55065,2023-03-28 00:00:00
1679976000000,1.1285,1.158,1.1142,1.1415,28114739.5,1679990399999,32104397.62696,53656,14292384.0,16321954.63421,2023-03-28 04:00:00
1679990400000,1.1416,1.1556,1.1177,1.1513,34147035.9,1680004799999,38859740.4054,58615,16296289.6,18553953.44494,2023-03-28 08:00:00
1680004800000,1.1512,1.1785,1.1361,1.1728,41591780.5,1680019199999,48154465.93267,70154,21087913.2,24431371.41008,2023-03-28 12:00:00
1680019200000,1.1727,1.2144,1.143,1.2079,36919246.9,1680033599999,43331839.25432,64669,19914316.8,23412113.63731,2023-03-28 16:00:00
1680033600000,1.2083,1.224,1.1809,1.2204,30349654.5,1680047999999,36507882.7189,60432,16857546.8,20308802.87244,2023-03-28 20:00:00
